txn_id,user_id,txn_date,amount,ingestion_date
100082,1023,2024-01-15,818.76,2024-01-15
100083,1364,2024-02-05,76.46,2024-02-05
100084,1396,2024-01-02,849.83,2024-01-02
100085,1091,2024-02-12,322.93,2024-02-14
100086,1019,2024-02-17,288.79,2024-02-26
100087,1134,2024-01-11,666.17,2024-01-31
100088,1022,2024-01-16,519.89,2024-01-23
100089,1348,2024-02-01,750.43,2024-02-04
100090,1315,2024-02-15,593.23,2024-02-15
100091,1136,2024-02-12,325.55,2024-02-14
100092,1121,2024-02-21,493.85,2024-03-04
100093,1163,2024-02-15,844.70,2024-02-19
100094,1316,2024-02-02,369.98,2024-02-17
100095,1228,2024-01-11,591.99,2024-01-11
100096,1217,2024-02-15,353.64,2024-02-21
100097,1258,2024-02-23,619.28,2024-02-26
100098,1255,2024-01-27,537.11,2024-02-03
100099,1233,2024-02-04,140.10,2024-02-04
100100,1082,2024-02-26,324.83,2024-03-01
100101,1352,2024-02-06,620.10,2024-02-06
100102,1207,2024-02-23,703.14,2024-03-13
100103,1235,2024-01-06,828.86,2024-01-13
100104,1293,2024-02-20,717.98,2024-02-20
100105,1123,2024-02-05,725.23,2024-02-16
100106,1267,2024-01-24,341.55,2024-02-02
100107,1290,2024-01-05,483.35,2024-01-19
100108,1361,2024-02-01,270.52,2024-02-01
100109,1251,2024-02-27,69.57,2024-02-27
100110,1349,2024-02-15,334.51,2024-03-02
100111,1108,2024-02-12,481.36,2024-02-12
100112,1198,2024-01-09,789.79,2024-01-09
100113,1281,2024-01-22,451.95,2024-01-22
100114,1188,2024-01-19,509.99,2024-02-06
100115,1165,2024-02-11,855.48,2024-02-26
100116,1153,2024-01-07,593.69,2024-01-10
100117,1003,2024-02-18,187.05,2024-02-18
100118,1364,2024-01-30,840.94,2024-01-30
100119,1311,2024-02-01,92.07,2024-02-14
100120,1259,2024-01-09,854.07,2024-01-09
100121,1020,2024-01-26,281.07,2024-01-29
100122,1176,2024-01-01,112.80,2024-01-10
100123,1225,2024-01-05,115.30,2024-01-10
100124,1067,2024-02-04,476.55,2024-02-11
100125,1265,2024-01-18,499.45,2024-01-19
100126,1290,2024-02-23,285.58,2024-02-23
100127,1028,2024-02-13,921.40,2024-03-02
100128,1356,2024-01-15,885.82,2024-01-31
100129,1096,2024-02-23,335.90,2024-03-09
100130,1201,2024-02-22,703.45,2024-02-23
100131,1215,2024-02-04,284.03,2024-02-07
100132,1365,2024-01-11,30.71,2024-01-11
100133,1176,2024-02-10,763.87,2024-02-10
100134,1036,2024-02-19,794.85,2024-03-07
100135,1187,2024-02-12,615.99,2024-02-12
100136,1344,2024-02-29,396.99,2024-03-06
100137,1282,2024-02-23,626.41,2024-03-05
100138,1233,2024-01-10,466.98,2024-01-27
100139,1155,2024-01-11,801.39,2024-01-11
100140,1198,2024-01-01,428.54,2024-01-11
100141,1333,2024-02-29,543.22,2024-03-13
100142,1291,2024-01-12,298.11,2024-01-21
100143,1049,2024-01-18,223.18,2024-01-18
100144,1202,2024-01-26,359.59,2024-02-05
100145,1011,2024-02-13,733.56,2024-02-13
100146,1196,2024-01-10,54.48,2024-01-22
100147,1175,2024-01-13,277.32,2024-01-19
100148,1098,2024-02-10,591.51,2024-02-10
100149,1047,2024-01-03,161.14,2024-01-03
100150,1083,2024-02-16,513.20,2024-02-22
100151,1021,2024-02-26,924.81,2024-03-02
100152,1299,2024-01-31,161.58,2024-02-04
100153,1061,2024-01-24,48.68,2024-02-04
100154,1094,2024-02-17,550.05,2024-03-03
100155,1184,2024-02-02,254.78,2024-02-08
100156,1135,2024-02-24,202.85,2024-02-26
100157,1103,2024-02-05,635.62,2024-02-17
100158,1269,2024-02-25,149.07,2024-03-11
100159,1118,2024-01-24,517.47,2024-01-24
100160,1367,2024-01-26,162.84,2024-02-05
100161,1004,2024-01-01,124.20,2024-01-02
100162,1236,2024-02-22,390.29,2024-03-09
100163,1360,2024-01-01,732.41,2024-01-16
100164,1286,2024-01-16,882.14,2024-01-16
100165,1055,2024-01-10,156.69,2024-01-28
100166,1052,2024-02-05,927.06,2024-02-16
100167,1045,2024-02-24,618.41,2024-02-24
100168,1381,2024-02-26,287.82,2024-03-07
100169,1361,2024-02-02,921.43,2024-02-21
100170,1181,2024-02-25,636.87,2024-03-11
100171,1262,2024-02-13,328.36,2024-02-17
100172,1339,2024-02-24,697.74,2024-02-24
100173,1130,2024-01-21,856.16,2024-01-21
100174,1286,2024-02-17,141.06,2024-03-06
100175,1013,2024-01-03,119.86,2024-01-04
100176,1074,2024-02-25,387.53,2024-03-04
100177,1300,2024-01-14,429.21,2024-01-17
100178,1108,2024-01-16,316.78,2024-02-05
100179,1047,2024-01-14,612.83,2024-02-02
100180,1373,2024-02-09,504.85,2024-02-18
100181,1225,2024-02-07,193.97,2024-02-07
100182,1207,2024-01-15,88.57,2024-01-15
100183,1010,2024-02-07,808.48,2024-02-07
100184,1054,2024-01-08,646.44,2024-01-11
100185,1007,2024-02-23,927.29,2024-02-23
100186,1168,2024-02-04,380.76,2024-02-04
100187,1083,2024-02-28,471.04,2024-03-09
100188,1128,2024-02-25,578.77,2024-02-27
100189,1388,2024-01-30,863.94,2024-01-30
100190,1333,2024-01-03,349.40,2024-01-08
100191,1130,2024-01-08,683.01,2024-01-22
100192,1352,2024-02-12,357.45,2024-02-24
100193,1028,2024-01-25,21.46,2024-01-25
100194,1086,2024-02-24,334.23,2024-03-05
100195,1255,2024-01-25,928.87,2024-01-25
100196,1269,2024-01-18,831.84,2024-01-21
100197,1321,2024-02-21,212.75,2024-02-21
100198,1382,2024-01-14,844.54,2024-01-28
100199,1025,2024-02-26,765.46,2024-02-26
100200,1114,2024-02-17,281.32,2024-03-02
100201,1148,2024-02-06,694.89,2024-02-20
100202,1028,2024-01-04,141.19,2024-01-23
100203,1330,2024-01-06,572.06,2024-01-06
100204,1055,2024-02-14,145.02,2024-02-14
100205,1027,2024-02-07,295.04,2024-02-07
100206,1395,2024-02-22,939.08,2024-03-10
100207,1368,2024-01-10,937.44,2024-01-13
100208,1349,2024-01-22,887.16,2024-02-10
100209,1376,2024-02-06,720.75,2024-02-09
100210,1066,2024-02-21,16.22,2024-03-01
100211,1398,2024-02-24,399.64,2024-03-13
100212,1246,2024-01-07,444.39,2024-01-26
100213,1047,2024-01-04,719.93,2024-01-04
100214,1157,2024-01-06,138.71,2024-01-06
100215,1093,2024-02-18,184.85,2024-03-02
100216,1119,2024-02-13,282.10,2024-02-13
100217,1229,2024-01-31,471.15,2024-02-10
100218,1173,2024-01-26,794.51,2024-01-26
100219,1332,2024-01-04,295.68,2024-01-22
100220,1229,2024-02-13,705.46,2024-02-21
100221,1209,2024-02-13,35.23,2024-02-14
100222,1208,2024-01-16,154.78,2024-01-16
100223,1325,2024-01-31,292.16,2024-02-16
100224,1372,2024-02-10,126.73,2024-02-20
100225,1151,2024-01-26,402.13,2024-01-26
100226,1133,2024-02-24,472.37,2024-02-24
100227,1024,2024-01-14,656.57,2024-01-14
100228,1112,2024-02-18,240.07,2024-02-18
100229,1352,2024-01-06,122.19,2024-01-15
100230,1003,2024-02-16,473.47,2024-02-19
100231,1340,2024-02-19,572.96,2024-03-02
100232,1042,2024-02-18,556.20,2024-03-08
100233,1066,2024-02-29,419.90,2024-02-29
100234,1083,2024-02-08,252.44,2024-02-24
100235,1236,2024-01-16,925.80,2024-01-20
100236,1102,2024-01-30,360.81,2024-02-18
100237,1194,2024-01-29,26.49,2024-01-29
100238,1385,2024-02-24,253.96,2024-03-14
100239,1356,2024-02-27,65.00,2024-03-09
100240,1347,2024-01-24,443.38,2024-01-29
100241,1229,2024-01-17,345.94,2024-01-19
100242,1183,2024-01-21,266.31,2024-02-04
100243,1287,2024-01-17,608.07,2024-01-29
100244,1296,2024-01-22,55.79,2024-02-01
100245,1278,2024-02-10,507.84,2024-02-13
100246,1020,2024-01-17,493.03,2024-01-23
100247,1240,2024-01-05,728.81,2024-01-25
100248,1125,2024-02-24,717.47,2024-02-24
100249,1360,2024-01-04,521.09,2024-01-15
100250,1076,2024-01-28,787.21,2024-01-28
100251,1268,2024-01-02,653.87,2024-01-12
100252,1264,2024-01-02,265.17,2024-01-14
100253,1179,2024-02-25,100.08,2024-02-25
100254,1368,2024-02-22,555.24,2024-02-27
100255,1037,2024-02-05,22.12,2024-02-22
100256,1335,2024-02-27,274.53,2024-02-27
100257,1348,2024-02-29,742.08,2024-03-07
100258,1040,2024-01-07,329.89,2024-01-07
100259,1364,2024-02-08,866.14,2024-02-08
100260,1062,2024-01-31,106.27,2024-02-05
100261,1196,2024-01-21,483.18,2024-01-28
100262,1133,2024-01-15,757.40,2024-02-02
100263,1001,2024-02-22,586.62,2024-02-22
100264,1253,2024-01-17,791.53,2024-01-17
100265,1252,2024-01-05,504.11,2024-01-05
100266,1290,2024-02-26,510.17,2024-03-01
100267,1099,2024-02-17,402.31,2024-02-17
100268,1129,2024-02-22,871.07,2024-02-26
100269,1075,2024-01-06,779.71,2024-01-07
100270,1104,2024-02-28,460.75,2024-03-04
100271,1359,2024-02-04,659.59,2024-02-09
100272,1077,2024-02-06,778.02,2024-02-26
100273,1040,2024-01-26,501.73,2024-02-06
100274,1090,2024-02-04,171.87,2024-02-14
100275,1153,2024-02-19,37.03,2024-02-23
100276,1339,2024-01-04,219.02,2024-01-09
100277,1334,2024-01-22,656.76,2024-01-22
100278,1035,2024-01-08,298.98,2024-01-15
100279,1059,2024-01-24,132.41,2024-01-27
100280,1325,2024-01-07,409.32,2024-01-11
100281,1059,2024-02-13,83.07,2024-02-29
100282,1054,2024-02-08,721.89,2024-02-10
100283,1276,2024-01-31,194.57,2024-02-02
100284,1267,2024-01-24,755.47,2024-02-10
100285,1325,2024-02-06,567.59,2024-02-22
100286,1274,2024-01-23,121.79,2024-02-01
100287,1237,2024-01-11,50.68,2024-01-21
100288,1256,2024-01-06,637.53,2024-01-10
100289,1105,2024-01-07,745.43,2024-01-07
100290,1075,2024-01-02,874.89,2024-01-09
100291,1165,2024-02-21,562.35,2024-02-28
100292,1306,2024-01-01,183.69,2024-01-13
100293,1172,2024-02-28,37.50,2024-02-28
100294,1373,2024-02-02,146.82,2024-02-11
100295,1219,2024-02-12,901.86,2024-02-12
100296,1315,2024-01-29,336.97,2024-02-04
100297,1236,2024-01-27,813.83,2024-01-27
100298,1253,2024-01-15,743.95,2024-01-15
100299,1147,2024-01-19,586.18,2024-02-05
100300,1250,2024-01-17,546.02,2024-01-21
100301,1054,2024-01-03,780.41,2024-01-03
100302,1290,2024-02-19,727.45,2024-02-19
100303,1315,2024-02-02,507.11,2024-02-09
100304,1270,2024-02-15,916.41,2024-02-15
100305,1131,2024-01-27,171.47,2024-02-14
100306,1235,2024-01-08,14.07,2024-01-12
100307,1272,2024-01-01,878.78,2024-01-18
100308,1295,2024-01-07,810.22,2024-01-07
100309,1054,2024-01-27,456.23,2024-02-15
100310,1397,2024-02-18,184.02,2024-02-22
100311,1200,2024-01-16,180.00,2024-01-16
100312,1024,2024-01-19,343.53,2024-02-01
100313,1181,2024-01-06,408.65,2024-01-23
100314,1273,2024-02-24,223.90,2024-02-28
100315,1041,2024-02-13,725.72,2024-02-24
100316,1155,2024-01-11,126.20,2024-01-15
100317,1375,2024-02-07,498.54,2024-02-23
100318,1205,2024-01-22,726.54,2024-02-01
100319,1113,2024-01-22,533.70,2024-01-24
100320,1328,2024-01-13,87.31,2024-01-13
100321,1136,2024-02-09,474.09,2024-02-22
100322,1248,2024-02-26,276.59,2024-02-26
100323,1222,2024-02-21,574.37,2024-03-02
100324,1112,2024-02-20,655.82,2024-02-20
100325,1177,2024-02-01,800.62,2024-02-09
100326,1386,2024-02-17,530.68,2024-02-27
100327,1108,2024-01-25,935.86,2024-01-25
100328,1223,2024-01-04,412.28,2024-01-07
100329,1141,2024-02-09,851.07,2024-02-09
100330,1226,2024-01-14,764.29,2024-01-26
100331,1370,2024-02-28,178.54,2024-03-10
100332,1299,2024-02-06,472.15,2024-02-06
100333,1274,2024-02-05,108.86,2024-02-20
100334,1339,2024-01-17,501.30,2024-01-17
100335,1371,2024-02-07,645.93,2024-02-11
100336,1305,2024-01-15,144.77,2024-01-28
100337,1075,2024-02-11,663.33,2024-02-15
100338,1230,2024-01-15,706.95,2024-01-15
100339,1003,2024-02-12,848.88,2024-02-12
100340,1210,2024-02-29,168.60,2024-03-06
100341,1212,2024-02-17,926.70,2024-02-28
100342,1279,2024-01-13,198.25,2024-01-26
100343,1013,2024-02-16,125.40,2024-03-01
100344,1210,2024-02-01,691.69,2024-02-10
100345,1246,2024-02-10,728.93,2024-02-29
100346,1352,2024-01-04,568.03,2024-01-17
100347,1298,2024-01-31,344.73,2024-02-20
100348,1229,2024-02-08,903.13,2024-02-24
100349,1175,2024-01-15,490.73,2024-01-15
100350,1268,2024-02-13,148.53,2024-02-13
100351,1377,2024-01-13,437.36,2024-01-17
100352,1107,2024-01-06,245.65,2024-01-22
100353,1288,2024-01-26,226.97,2024-01-26
100354,1336,2024-02-04,895.86,2024-02-05
100355,1008,2024-02-07,103.63,2024-02-09
100356,1132,2024-01-13,790.49,2024-01-29
100357,1130,2024-01-07,647.42,2024-01-07
100358,1056,2024-01-31,923.75,2024-02-13
100359,1309,2024-01-20,578.31,2024-01-31
100360,1142,2024-01-14,153.57,2024-02-03
100361,1129,2024-02-23,595.84,2024-02-26
100362,1289,2024-01-14,631.42,2024-01-14
100363,1300,2024-02-22,498.75,2024-02-22
100364,1215,2024-02-11,472.66,2024-02-26
100365,1046,2024-02-08,199.82,2024-02-08
100366,1043,2024-02-05,632.37,2024-02-21
100367,1217,2024-01-19,484.51,2024-02-06
100368,1059,2024-01-19,333.00,2024-02-06
100369,1162,2024-02-14,523.82,2024-02-16
100370,1220,2024-02-08,941.27,2024-02-12
100371,1150,2024-01-08,370.61,2024-01-08
100372,1284,2024-01-13,305.69,2024-01-13
100373,1338,2024-02-11,363.76,2024-02-26
100374,1272,2024-01-02,43.82,2024-01-02
100375,1397,2024-01-19,176.26,2024-01-29
100376,1362,2024-02-20,841.62,2024-02-20
100377,1079,2024-02-07,164.30,2024-02-21
100378,1085,2024-01-09,136.42,2024-01-22
100379,1345,2024-01-13,468.21,2024-01-17
100380,1311,2024-02-27,544.72,2024-02-27
100381,1153,2024-01-21,471.12,2024-02-08
100382,1259,2024-01-14,654.25,2024-02-02
100383,1156,2024-02-24,451.63,2024-03-13
100384,1142,2024-02-14,813.09,2024-03-02
100385,1356,2024-01-14,62.39,2024-01-23
100386,1371,2024-02-25,475.01,2024-03-09
100387,1119,2024-01-04,589.92,2024-01-16
100388,1056,2024-02-22,730.48,2024-02-22
100389,1258,2024-01-13,277.37,2024-01-13
100390,1274,2024-02-20,67.74,2024-03-10
100391,1216,2024-02-19,52.41,2024-03-02
100392,1336,2024-02-10,337.94,2024-02-29
100393,1376,2024-01-01,35.29,2024-01-12
100394,1332,2024-02-09,367.74,2024-02-23
100395,1398,2024-01-27,334.43,2024-02-08
100396,1263,2024-01-27,397.21,2024-01-29
100397,1048,2024-02-06,631.57,2024-02-14
100398,1196,2024-01-04,230.54,2024-01-04
100399,1265,2024-01-15,303.37,2024-01-15
100400,1376,2024-01-13,89.85,2024-01-16
100401,1274,2024-01-27,826.80,2024-01-31
100402,1157,2024-01-13,327.34,2024-01-14
100403,1028,2024-02-10,516.11,2024-02-12
100404,1080,2024-02-12,443.25,2024-02-26
100405,1281,2024-01-01,543.97,2024-01-15
100406,1062,2024-01-06,260.62,2024-01-22
100407,1121,2024-01-28,562.71,2024-01-28
100408,1387,2024-02-05,936.62,2024-02-18
100409,1325,2024-02-13,546.13,2024-02-13
100410,1250,2024-01-09,313.08,2024-01-13
100411,1314,2024-02-23,769.83,2024-02-27
100412,1325,2024-02-02,659.41,2024-02-09
100413,1204,2024-01-14,325.81,2024-01-31
100414,1214,2024-01-04,772.77,2024-01-04
100415,1020,2024-02-14,637.34,2024-02-20
100416,1126,2024-01-30,587.94,2024-01-30
100417,1247,2024-01-25,351.53,2024-02-08
100418,1135,2024-02-05,199.65,2024-02-05
100419,1196,2024-02-22,607.32,2024-02-25
100420,1360,2024-01-10,799.96,2024-01-28
100421,1132,2024-01-12,211.24,2024-01-21
100422,1170,2024-01-22,54.68,2024-02-10
100423,1144,2024-02-05,387.91,2024-02-13
100424,1274,2024-01-16,597.10,2024-01-19
100425,1205,2024-01-09,684.64,2024-01-28
100426,1220,2024-02-29,99.05,2024-03-06
100427,1014,2024-02-04,266.96,2024-02-23
100428,1248,2024-01-18,763.11,2024-02-03
100429,1310,2024-02-26,411.48,2024-02-26
100430,1277,2024-02-10,336.48,2024-02-13
100431,1354,2024-01-20,622.44,2024-01-30
100432,1262,2024-01-07,484.36,2024-01-07
100433,1165,2024-01-02,291.91,2024-01-20
100434,1108,2024-02-02,304.55,2024-02-16
100435,1298,2024-01-01,388.16,2024-01-01
100436,1361,2024-01-12,597.47,2024-01-12
100437,1248,2024-01-21,436.03,2024-01-21
100438,1200,2024-02-03,727.64,2024-02-03
100439,1392,2024-01-14,179.76,2024-01-15
100440,1264,2024-02-21,600.17,2024-03-09
100441,1353,2024-02-13,820.95,2024-02-13
100442,1061,2024-01-01,552.23,2024-01-01
100443,1036,2024-01-30,210.18,2024-01-30
100444,1392,2024-02-20,914.39,2024-02-20
100445,1170,2024-02-22,707.68,2024-03-08
100446,1219,2024-02-04,261.86,2024-02-22
100447,1099,2024-01-20,770.40,2024-02-03
100448,1039,2024-01-20,888.56,2024-01-22
100449,1375,2024-01-11,500.93,2024-01-23
100450,1072,2024-01-15,444.74,2024-01-15
100451,1256,2024-01-16,235.95,2024-01-26
100452,1185,2024-02-21,803.47,2024-03-06
100453,1336,2024-02-07,309.53,2024-02-10
100454,1327,2024-02-16,605.89,2024-03-01
100455,1208,2024-01-17,260.92,2024-01-27
100456,1208,2024-02-10,617.28,2024-02-19
100457,1306,2024-01-12,655.64,2024-01-20
100458,1281,2024-01-16,391.51,2024-01-16
100459,1300,2024-01-08,116.75,2024-01-08
100460,1028,2024-01-23,190.40,2024-01-23
100461,1299,2024-01-25,240.85,2024-02-04
100462,1294,2024-02-21,446.31,2024-03-10
100463,1350,2024-02-16,941.82,2024-03-01
100464,1317,2024-02-07,618.11,2024-02-09
100465,1233,2024-01-24,199.87,2024-02-02
100466,1372,2024-02-12,138.24,2024-02-21
100467,1351,2024-01-08,752.29,2024-01-17
100468,1308,2024-01-06,629.15,2024-01-12
100469,1248,2024-01-14,615.64,2024-01-14
100470,1024,2024-01-25,49.70,2024-02-10
100471,1347,2024-01-12,745.30,2024-01-14
100472,1157,2024-01-02,818.01,2024-01-05
100473,1083,2024-01-30,305.07,2024-01-30
100474,1030,2024-02-13,290.10,2024-02-16
100475,1317,2024-01-18,856.54,2024-02-01
100476,1262,2024-02-26,852.97,2024-02-29
100477,1103,2024-02-25,383.08,2024-03-01
100478,1365,2024-02-01,231.88,2024-02-01
100479,1069,2024-02-05,546.71,2024-02-05
100480,1060,2024-01-29,480.23,2024-02-02
100481,1357,2024-01-18,500.64,2024-01-18
100482,1337,2024-01-22,789.24,2024-01-22
100483,1132,2024-01-03,902.69,2024-01-20
100484,1215,2024-02-03,246.70,2024-02-06
100485,1039,2024-02-07,233.79,2024-02-07
100486,1074,2024-01-11,124.94,2024-01-22
100487,1162,2024-02-27,319.53,2024-02-27
100488,1029,2024-01-27,559.27,2024-01-27
100489,1338,2024-02-12,376.55,2024-02-20
100490,1199,2024-02-03,889.37,2024-02-10
100491,1190,2024-01-14,145.62,2024-01-20
100492,1186,2024-02-26,211.26,2024-02-26
100493,1195,2024-02-08,268.07,2024-02-22
100494,1104,2024-02-05,249.05,2024-02-24
100495,1207,2024-01-25,62.57,2024-01-25
100496,1155,2024-01-18,511.46,2024-01-22
100497,1008,2024-01-15,307.50,2024-01-29
100498,1134,2024-02-23,456.36,2024-03-02
100499,1103,2024-02-16,915.52,2024-02-21
100500,1313,2024-01-09,351.22,2024-01-21
100501,1133,2024-02-22,782.08,2024-02-22
100502,1197,2024-01-16,29.81,2024-02-05
100503,1069,2024-01-23,42.72,2024-01-23
100504,1097,2024-01-28,705.08,2024-01-30
100505,1400,2024-02-01,659.24,2024-02-09
100506,1085,2024-02-16,247.80,2024-02-29
100507,1237,2024-01-23,300.71,2024-02-04
100508,1242,2024-02-24,858.97,2024-02-24
100509,1206,2024-01-10,654.13,2024-01-28
100510,1369,2024-01-21,824.94,2024-01-21
100511,1059,2024-02-03,816.19,2024-02-03
100512,1345,2024-02-05,375.16,2024-02-18
100513,1028,2024-01-15,881.86,2024-01-15
100514,1392,2024-02-19,872.85,2024-02-29
100515,1326,2024-02-27,94.84,2024-03-06
100516,1239,2024-01-15,289.58,2024-01-21
100517,1238,2024-01-10,870.94,2024-01-21
100518,1241,2024-02-01,836.70,2024-02-15
100519,1140,2024-01-08,751.96,2024-01-17
100520,1329,2024-01-25,824.46,2024-01-25
100521,1113,2024-02-09,783.81,2024-02-09
100522,1368,2024-02-14,894.07,2024-03-01
100523,1071,2024-02-10,702.73,2024-02-21
100524,1055,2024-02-08,684.34,2024-02-12
100525,1021,2024-02-03,784.94,2024-02-03
100526,1064,2024-01-28,666.57,2024-01-28
100527,1302,2024-01-11,485.95,2024-01-23
100528,1199,2024-01-16,405.62,2024-02-03
100529,1006,2024-01-02,703.52,2024-01-17
100530,1078,2024-01-29,663.50,2024-01-31
100531,1009,2024-01-29,612.89,2024-02-04
100532,1117,2024-01-07,602.35,2024-01-12
100533,1353,2024-02-22,12.89,2024-02-29
100534,1047,2024-02-01,600.60,2024-02-01
100535,1309,2024-02-27,304.90,2024-03-01
100536,1248,2024-02-15,114.18,2024-02-23
100537,1111,2024-02-06,495.38,2024-02-11
100538,1152,2024-02-10,806.14,2024-02-24
100539,1201,2024-01-03,755.08,2024-01-14
100540,1019,2024-01-07,434.40,2024-01-07
100541,1400,2024-01-14,831.10,2024-01-19
100542,1364,2024-02-12,255.04,2024-02-12
100543,1189,2024-02-23,656.22,2024-03-05
100544,1262,2024-02-13,761.56,2024-02-20
100545,1151,2024-01-22,89.34,2024-01-22
100546,1379,2024-01-19,355.54,2024-01-19
100547,1143,2024-02-06,379.88,2024-02-19
100548,1297,2024-01-26,898.07,2024-02-14
100549,1093,2024-01-20,221.02,2024-01-21
100550,1063,2024-01-04,877.73,2024-01-24
100551,1125,2024-01-11,599.03,2024-01-14
100552,1139,2024-01-25,925.68,2024-01-25
100553,1055,2024-01-20,196.37,2024-01-26
100554,1035,2024-01-04,56.80,2024-01-04
100555,1233,2024-01-28,590.92,2024-02-17
100556,1161,2024-01-17,254.55,2024-01-20
100557,1335,2024-01-27,910.55,2024-01-27
100558,1277,2024-02-09,169.92,2024-02-09
100559,1100,2024-01-19,543.21,2024-01-20
100560,1206,2024-02-07,685.47,2024-02-21
100561,1386,2024-01-05,736.96,2024-01-20
100562,1088,2024-01-10,787.62,2024-01-10
100563,1120,2024-01-22,474.50,2024-01-30
100564,1170,2024-01-13,680.75,2024-01-20
100565,1080,2024-01-19,899.29,2024-01-28
100566,1178,2024-01-01,280.68,2024-01-17
100567,1242,2024-02-13,369.15,2024-02-27
100568,1212,2024-02-29,814.96,2024-03-10
100569,1351,2024-01-08,212.63,2024-01-08
100570,1053,2024-02-25,784.64,2024-02-25
100571,1195,2024-01-27,693.11,2024-02-03
100572,1068,2024-01-07,403.23,2024-01-07
100573,1052,2024-01-28,394.01,2024-01-28
100574,1245,2024-01-26,147.19,2024-01-26
100575,1181,2024-02-12,282.78,2024-02-21
100576,1039,2024-01-04,231.36,2024-01-19
100577,1372,2024-02-15,862.89,2024-02-27
100578,1207,2024-02-25,557.93,2024-03-11
100579,1202,2024-02-02,90.59,2024-02-02
100580,1245,2024-01-03,450.75,2024-01-14
100581,1351,2024-02-24,925.94,2024-03-08
